IFX,SDF
3.285,43.03
3.29,43.56
3.305,43.39
3.34,42.55
3.375,41.1
3.37,40.91
3.365,41.6
3.32,42.25
3.38,42.44
3.425,41.95
3.565,41.71
3.44,40.91
3.58,40.93
3.72,41.56
3.855,40.83
3.79,40.04
3.84,40.55
3.885,40.41
3.88,39.99
4.104,41.74
4.238,44.525
4.181,45.02
4.112,46.2
4.18,46.04
4.06,45.68
3.985,44.305
4.111,44.73
4.162,44.335
4.046,43.66
4.049,44.26
4.017,45.11
4.003,42.97
3.9,42.11
3.766,42.38
3.82,42.145
3.898,41.765
3.816,41.31
3.904,39.86
4.019,40.82
4.208,41.17
4.343,41.97
4.22,42.635
4.11,41.35
3.959,40.795
3.958,41.35
3.98,42.03
4.001,41.955
4.06,42.24
3.942,42.985
3.848,43.65
3.973,44.5
4.089,44.29
4.116,45.775
4.157,45.72
4.19,45.27
4.091,44.53
4.037,44.555
3.907,44
4.007,44.62
4.08,45.4
4.197,46.25
4.227,46.625
4.236,46.045
4.28,47.33
4.289,46.505
4.29,46.47
4.364,46.935
4.37,45.66
4.44,46.37
4.31,45.335
4.459,45.6
4.508,46.065
4.456,45.555
4.444,44.825
4.489,44.6
4.678,44.93
4.949,45.6
5.016,46.21
5.05,45.61
5.173,45.2
5.039,44.645
5.139,44.93
5.16,44.325
5.291,44.435
5.253,44.185
5.135,43.1
5.206,43.23
5.028,42.72
5.07,42.31
5.211,43.115
5.26,43.99
5.12,43.18
5.096,42.84
5.202,43.11
5.4,42.78
5.29,42.995
5.389,43.875
5.544,43.855
5.26,43.775
5.25,43.15
5.352,43.59
5.343,43.33
5.287,43.185
4.881,41.89
4.862,40.93
4.79,41.52
4.531,40.64
4.937,42.28
4.914,42.43
5.142,41.915
5.22,41.75
5.038,40.61
5.082,40.625
5.053,40.81
4.732,39.47
4.635,38.5
4.706,37.405
4.643,36.935
4.209,35.94
4.415,36.68
4.595,37.45
4.574,37.085
4.661,36.605
4.465,36.955
4.496,37.455
4.678,37.685
4.561,37.04
4.502,36.9
4.423,36.8
4.57,37.555
4.68,38.035
4.813,39.33
4.94,39.43
5.107,39.305
5.095,39.29
5.217,40.09
5.244,39.85
5.312,40.55
5.258,40.745
5.198,40.945
4.962,40.365
4.952,39.66
5.092,39.805
4.831,38.46
4.818,37.88
4.749,37.135
4.73,36.98
4.757,36.945
5,37.815
4.94,38.13
5.007,38.26
5.083,38.765
5.038,38.365
5.18,38.34
5.306,38.28
5.125,37.9
4.96,38.9
4.923,38.775
4.866,38.62
4.94,39.085
5.022,40.4
5.05,40.895
5.043,40.9
5.049,41.19
5.182,40.39
5.083,40.39
5.179,40.74
5.276,42.4
5.225,42.38
5.197,42.64
5.055,43.5
5.041,44.105
5.09,43.99
4.988,43
4.744,42
4.69,41.285
4.692,42.325
4.711,41.54
4.814,43.9
4.8,44.585
4.735,43.6
4.625,42.625
4.614,43.5
4.473,42.87
4.423,41.895
4.654,41.8
4.61,41.49
4.44,41.44
4.401,41.28
4.56,41.89
4.596,41.86
4.502,42.085
4.49,42.325
4.33,41.47
4.254,42.49
4.324,42.665
4.3,42.995
4.34,42.91
4.301,42.785
4.452,42.38
4.526,41.785
4.624,43.2
4.762,45.22
4.723,44.875
4.849,44.48
4.761,44.145
4.886,44.425
4.848,44.86
4.858,45.05
5.035,44.585
5.081,43.915
5.125,43.485
4.997,43.35
5.14,44.095
5.081,44.67
5.159,44.4
5.234,46.13
5.292,45.95
5.35,45.835
5.488,46.53
5.447,46.185
5.631,46.42
5.6,46.81
5.495,46.1
5.609,45.945
5.642,46.27
5.662,46.325
5.8,46.895
5.85,48.25
5.688,49.41
5.725,49.535
5.656,50.01
5.65,50.05
5.673,50.85
5.664,51.09
5.88,52.03
5.952,52.55
6.144,52.49
6.248,52.6
6.018,52.1
5.893,50.73
6.018,49.975
5.97,49.95
6.223,48.4
6.307,48.8
6.613,49.015
6.587,49.265
6.503,48.25
6.389,49.02
6.556,51.1
6.76,51.99
6.831,51.72
6.776,50.52
6.846,51.41
7.045,52.55
7.179,52.72
7.38,53.35
7.57,54.56
7.309,55.21
7.305,54.24
6.971,53.45
7.21,53.12
7.186,53.9
7.04,54.01
6.98,54.87
7.043,54.53
7.049,55.04
7.053,55.89
7.135,56.65
7.25,56.39
7.165,56.47
6.983,56.63
7.013,56.55
7.028,56.63
6.963,56.36
7.217,57.03
7.02,56.95
7.02,56.12
7.03,56.73
7.034,56.31
6.813,55.47
7.163,56.56
7.227,56.97
7.228,56.5
7.34,55.5
7.394,55.62
7.791,56.03
7.537,55.82
7.306,53.48
7.27,52.55
7.221,51.85
7.57,52.74
7.691,53.9
7.765,53.76
7.735,53.48
7.721,53.99
7.822,54.9
7.97,56.47
8.023,57.2
8.03,57.54
8.2,58
8.27,57.5
8.14,58.19
8.134,57.67
8.2,57.84
8.227,58.31
8.071,58.6
8.106,57.64
8.036,57.7
8.001,57.43
7.821,56.75
8.011,56.5
7.668,54.4
7.663,54.36
7.777,55.48
7.928,55.95
7.858,56.02
7.78,56.88
7.82,56.69
7.69,56.54
7.733,56.03
7.768,56.1
7.482,55.25
7.212,54.24
7.325,51.67
7.244,51.28
6.928,49.025
6.909,49.315
6.972,49.965
6.827,50.62
7.165,51.73
7.14,50.83
7.1,51.44
7.24,53.05
7.23,53.24
7.2,52.85
7.124,52.7
7.294,53.4
7.235,53.27
7.354,54.26
7.463,54.6
7.75,55
7.62,55.14
7.458,54.84
7.282,54.99
7.356,54.26
7.01,53.3
7.057,53.1
6.91,52.98
6.993,53.65
7.105,52.97
7.14,53.08
7.446,54.85
7.416,54.85
7.65,54.73
7.61,54.3
7.625,54.14
7.664,54.63
7.74,56.1
7.92,55.73
7.863,53.84
7.875,53.04
7.908,53.16
7.995,53.57
8.238,53.97
8.23,53.94
8.277,52.46
8.187,52.09
8.183,52.7
7.867,51.6
7.909,52.37
8.091,52.82
8.03,52.2
7.709,51.92
7.865,53.27
7.858,53.67
7.78,53.5
7.869,53.55
7.852,53.92
8.041,55.36
7.982,54.47
7.788,53.53
7.842,53.77
7.78,54.4
7.889,54.47
7.694,53.57
7.645,54.49
7.461,53.65
7.464,54.09
7.603,54.48
7.474,53.98
7.395,53.48
7.265,52.8
7.271,53.05
7.363,53.76
7.423,53.32
7.3,52.23
7.367,51.8
7.36,51.2
7.416,52.22
7.679,53.69
7.752,53
7.865,53.46
8.015,54.8
7.94,55.26
8.029,55.34
8.115,55.56
7.937,55.48
7.762,54.75
7.483,54.22
7.5,55.48
7.44,55.3
7.265,55.41
7.103,54.98
7.447,55.74
7.21,55.14
7.124,55.31
7.211,56.1
7.263,56.57
7.206,56.1
7.199,56.05
6.951,55.77
7.007,55.77
6.872,54.84
6.672,53.08
6.402,51.78
5.955,48.92
5.945,47.51
5.452,42.265
5.788,42.995
5.594,42.325
6.025,43.8
6.295,44.935
6.191,45.71
6.055,45.795
5.822,45.925
5.504,43.025
5.559,42.575
5.545,43
5.645,43.6
5.786,44.625
5.653,43.32
5.71,44.165
5.846,46.445
5.812,46.995
5.937,49
5.874,47.815
5.693,47.09
5.27,45.045
5.148,44.585
5.59,46.795
5.644,46.085
5.566,44.555
5.717,44.09
5.941,44.47
6.216,45.43
6.303,46.335
6.229,47.68
5.973,45.73
6.345,46.99
6.124,44.2
5.797,41.72
5.86,40.79
5.793,41.61
6.098,43.305
5.938,42.945
5.796,41.655
5.588,39.58
5.393,37.45
5.215,35.62
5.474,38.585
5.694,39.855
5.736,39.855
6.043,41.98
6.078,42.14
6.296,43.8
6.344,43.775
6.086,44.09
6.078,43.65
6.04,44.585
5.97,44.74
5.925,44.035
6.108,45.04
6.27,46.83
6.446,46.34
6.362,45.745
6.602,47
6.581,46.97
6.529,45.995
6.042,43.495
6.185,44.725
6.484,45.61
6.502,44.875
6.463,44.835
6.687,45.265
6.519,44.5
6.514,42.4
6.68,42.425
6.679,41.215
6.45,41.75
6.257,41.6
6.05,40.485
5.914,39.615
5.74,38.245
5.518,37.85
5.592,37.5
5.622,37.5
5.748,37.82
5.9,38.32
5.89,39.46
6.142,40.29
6.217,39.34
6.263,38.93
6.271,38.16
6.254,37.87
6.074,37.95
5.98,36.05
5.877,35.075
5.736,33.77
5.725,34.59
5.633,33.35
5.801,33.75
5.765,33.875
5.609,34.02
5.771,35.515
5.701,34.515
5.765,34.865
5.818,35.22
5.818,35.22
5.832,35.015
5.731,34.25
5.794,34.79
5.816,34.92
6.06,35.74
6.081,37.3
6.063,36.285
6.167,36.115
6.19,36.71
6.163,35.335
6.294,36.83
6.426,36.48
6.33,36.09
6.35,36.145
6.55,36.39
6.768,37.04
6.967,37.38
6.951,37.74
6.864,37
6.99,37.15
6.917,36.235
6.986,36.785
7.114,37.39
7.11,37.235
6.9,36.395
6.976,36.455
7.369,37.66
7.454,38.855
7.606,39.755
7.652,40
7.624,40.6
7.512,40.15
7.455,40.31
7.467,39.42
7.425,39.055
7.103,39.475
7.352,40.185
7.312,39.4
7.571,39.835
7.81,40.315
7.65,39.8
7.566,39.265
7.567,38.615
7.586,38.625
7.562,38.355
7.725,38.225
7.591,37.475
7.546,37.7
7.695,37.08
7.55,36.525
7.16,35.02
7.28,35.75
7.57,36.455
7.557,36.59
7.593,36.51
7.526,36.82
7.47,36.525
7.638,39.16
7.598,39.105
7.644,39.25
7.41,39.25
7.375,39.165
7.37,38.885
7.44,39.475
7.576,40.04
7.549,39.775
7.687,38.92
7.594,38.35
7.666,39.225
7.862,39.98
7.88,39.42
7.428,38.06
7.462,38.335
7.462,38.335
7.462,38.335
7.126,37.67
7.132,37.62
7.543,38.395
7.374,37.84
7.444,37.77
7.566,37.69
7.577,37.42
7.673,37.18
7.626,37.135
7.119,36.22
7.272,36.01
7.403,37.605
7.471,37.19
7.462,37.94
7.521,37.755
7.521,37.755
7.517,37.42
7.281,37.41
7.046,36.475
7.09,36.66
6.81,36.185
6.639,36.355
6.784,35.1
6.897,35.04
6.666,34.94
6.687,35
6.664,35.08
6.429,34.58
6.201,34.3
6.332,34.495
6.524,34.48
6.318,33.545
6.25,33.3
6.138,33
6.144,33.23
6.416,33.615
6.367,32.715
6.388,32.25
6.025,31.015
5.832,30.6
5.947,30.395
6.18,31.445
6.295,31.42
6.204,30.915
6.236,30.695
6.129,30.82
6.16,30.69
5.958,30.675
5.934,31.03
6.123,31.375
6.286,31.84
6.398,32.85
6.397,32.285
6.167,32.05
6.071,31.965
5.353,32.665
5.227,34.92
5.095,34.84
5.332,36
5.475,36.12
5.53,36.925
5.567,37.355
5.476,36.705
5.213,36.7
5.149,36.485
5.276,36.895
5.157,37.41
5.083,37.255
5.23,37.95
5.372,37.97
5.27,38.56
5.437,39.87
5.689,39.72
5.633,39.135
5.409,38.375
5.369,38.32
5.351,38.63
5.452,39.35
5.509,39.495
5.557,40.555
5.929,40.215
5.72,40.19
5.452,39.445
5.684,39.85
5.798,39.545
5.805,39.665
5.791,39.4
5.96,39.85
5.963,39.365
5.855,39.395
5.89,39.775
5.91,40.17
5.982,40.45
6.024,40.855
5.794,40.645
5.893,40.785
5.809,40.275
5.684,39.785
5.62,39.83
5.728,40.245
5.64,39.82
5.623,39.895
5.498,39.265
5.495,38.9
5.403,39.05
5.301,38.7
5.224,38.48
5.28,39.115
5.628,38.885
5.567,38.69
5.629,38.81
5.762,38.265
5.718,37.83
5.969,37.85
5.955,38.295
5.712,38.175
5.678,38.595
5.609,38.64
5.602,38.355
5.44,38.085
5.106,38.055
4.935,37.73
5.021,37.885
4.938,38.265
5.16,39.18
5.034,39.05
5.006,37.965
5.065,37.9
5.231,38.02
5.107,37.82
5.049,37.5
5,37.54
5.084,38.03
5.046,37.695
4.962,36.5
5.136,36.795
5.218,37.29
5.391,36.98
5.305,36.495
5.379,36.365
5.233,35.66
5.224,35.455
5.222,35.565
5.286,35.85
5.301,36.125
5.409,36.665
5.25,36.5
5.466,36.665
5.546,36.085
5.565,35.84
5.673,36.185
5.4,35.68
5.33,35.315
5.365,35.205
5.272,35.91
5.242,34.29
5.55,33.43
5.458,33.3
5.37,32.99
5.703,33.415
5.714,33.15
5.851,32.11
5.906,32.72
5.916,33.175
5.85,33.4
5.88,33.44
5.834,33.74
5.933,34.46
5.896,34.74
5.927,35
5.705,34.335
5.716,34.235
5.794,34.385
5.813,34.595
5.803,35.015
5.833,35.1
5.77,35
5.785,35.055
5.818,35.205
5.894,34.985
6.053,35.575
6.264,35.93
6.189,35.83
6.188,35.295
6.188,35.295
6.188,35.295
6.188,35.295
6.176,35.165
6.129,35
6.129,35
6.129,35
6.395,35.125
6.524,33.885
6.574,33.8
6.431,33.55
6.319,34.02
6.458,34.31
6.639,33.81
6.54,33.525
6.494,33.365
6.642,32.97
6.592,33.165
6.722,33.48
6.704,33.99
6.748,34.225
6.661,34
6.73,34.38
6.67,34.67
6.695,34.45
6.665,34.435
6.498,34.5
6.394,33.925
6.645,33.25
6.891,33.41
6.7,32.61
6.542,32.8
6.521,32.635
6.447,33.075
6.545,33.1
6.479,33.39
6.408,33.34
6.427,33.74
6.286,33.575
6.303,33.62
6.255,33.865
6.547,34.745
6.668,34.94
6.549,34.43
6.372,34.86
6.527,35.765
6.336,35.225
6.439,35.29
6.561,36.005
6.523,35.965
6.39,35.47
6.503,35.475
6.548,35.45
6.485,35.28
6.85,35.35
6.788,35.38
6.779,35.965
6.619,36.06
6.559,36.73
6.605,37.525
6.488,37.5
6.45,37.025
6.453,37.22
6.284,36.92
6.221,36.315
6.249,36.36
6.281,36.75
6.207,36.39
6.16,36.285
6.16,36.285
6.16,36.285
6.115,36.115
6.173,35.78
6.151,35.505
6.028,34.95
6.011,34.935
5.865,34.505
5.963,35.385
6.128,35.665
5.939,34.275
5.703,33.835
5.709,34.075
5.434,33.535
5.515,33.06
5.459,33.6
5.419,32.355
5.602,32.455
5.726,32.85
5.909,33.015
5.905,32.885
5.911,33.025
5.995,33.57
5.995,33.57
6.59,33.305
6.681,33.82
6.582,34.25
6.682,34.41
6.699,34.685
6.755,34.495
6.659,34.86
6.635,34.975
6.652,34.575
6.534,33.17
6.43,33.03
6.401,33.07
6.455,32.72
6.643,32.9
6.619,32.835
6.38,32.235
6.251,31.9
6.322,32.18
6.459,32.115
6.4,32.305
6.61,32.91
6.55,32.51
6.466,31.885
6.582,31.39
6.417,30.735
6.346,30.33
6.441,30.515
6.451,30.445
6.665,30.34
6.532,30.175
6.537,29.86
6.56,30.06
6.544,30.185
6.835,30.07
6.835,29.925
6.442,28.985
6.156,28.685
6.083,28.345
6.191,28.21
6.5,28.19
6.507,28.35
6.43,28.405
6.359,28.315
6.406,28.005
6.325,27.675
6.601,27.705
6.427,27.015
6.584,27.395
6.603,28.31
6.628,27.19
6.773,27.425
6.926,26.89
6.972,27
6.935,26.575
7.092,26.25
7.123,25.75
7.05,26.275
7.11,25.77
7.201,25.895
7.224,25.84
7.241,25.73
6.991,26.45
6.984,26.54
6.7,20.24
6.634,18.525
6.849,18.885
6.825,18.725
6.838,17.33
6.854,15.92
6.917,16.98
6.99,17.845
6.975,18.2
7.053,18.585
7.13,18.305
7.187,18.3
7.058,18.235
7.078,18.435
7.055,18.8
6.867,18.935
6.912,19.075
7.068,18.66
7.049,18.475
6.998,19.26
6.822,19.34
6.76,18.875
6.831,18.615
6.86,18.365
7.026,18.75
7.012,18.565
7.165,19
7.166,18.975
7.126,18.81
7.178,20.345
7.403,21.08
7.437,20.935
7.48,21.365
7.414,22.59
7.534,23.15
7.462,22.575
7.543,21.415
7.514,20.67
7.492,20.575
7.612,21.17
7.552,19.995
7.569,19.595
7.555,20.02
7.574,19.305
7.395,19.16
7.515,19.01
7.459,18.62
7.39,19.15
7.394,18.855
7.297,18.695
7.34,18.98
7.216,18.62
7.412,18.885
7.479,19.045
7.365,18.96
7.331,19.105
7.239,19.025
7.149,18.73
7.218,18.75
7.29,18.905
7.132,18.935
7.072,19.03
7.04,18.445
6.937,18.64
6.94,18.95
7.114,19.005
7.075,19.06
7.129,18.79
7.128,19.2
7.178,20.98
7.19,20.82
7.233,20.045
7.125,20.5
7.121,20.81
7.289,21.045
6.88,20.465
6.892,20.545
6.975,19.695
7.096,20.615
7.084,20.63
7.201,19.955
7.244,19.745
7.224,19.415
7.277,19.11
7.332,19.24
7.338,19.145
7.357,19.09
7.436,19.41
7.47,20.59
7.53,21.1
7.386,20.46
7.424,20.8
7.368,20.96
7.498,21.01
7.535,20.99
7.434,20.82
7.448,20.47
7.28,20
7.289,20.165
7.273,20.38
7.361,20.505
7.443,20.395
7.579,20.58
7.607,21.035
7.697,21.38
7.697,21.38
7.697,21.38
7.697,21.38
7.768,21.98
7.76,22.375
7.76,22.375
7.76,22.375
7.667,21.61
7.732,22.085
7.679,22.13
7.646,21.94
7.65,23.135
7.495,22.895
7.536,23.025
7.667,23.22
7.56,24.355
7.642,25.415
7.641,25.835
7.697,24.63
7.706,24.575
7.721,24.135
7.706,23.7
7.6,23.805
7.378,23.085
7.289,22.965
7.381,22.515
7.384,22.59
7.695,21.98
7.656,22.09
7.498,22.55
7.438,22.465
7.448,22.375
7.501,23.605
7.501,23.885
7.544,24.06
7.723,24.41
7.724,24.24
7.737,23.74
7.817,24.295
7.83,23.94
7.828,23.795
7.794,23.53
7.699,23.63
7.893,24
7.943,23.975
8.001,24.15
8.115,24.53
8.11,24.34
8.22,24.495
8.005,23.675
8.159,24.35
8.366,24.76
8.565,25.185
8.41,24.9
8.346,24.9
8.35,25.05
8.174,24.52
8.029,22.1
7.924,21.93
8.192,22.095
8.268,22.995
8.327,22.775
8.496,22.845
8.47,22.915
8.265,22.44
8.445,22.835
8.554,23.33
8.55,23.715
8.579,23.82
8.662,23.845
8.824,23.665
8.898,23.675
8.835,23.425
8.742,23.725
8.588,23.245
8.43,23.305
8.463,23.215
8.384,22.925
8.143,22.77
8.154,23.38
7.926,23.065
8.106,23.155
8.409,23.3
8.409,23.3
8.409,23.3
8.413,23.76
8.322,23.86
8.458,24.055
8.239,24.03
8.152,24.185
8.523,24.575
8.379,25.205
8.379,25.205
8.274,25.02
8.157,25
8.399,24.94
8.414,25
8.64,25.19
8.551,25.71
8.789,26.22
8.755,26.39
8.749,26.6
8.57,26.44
8.482,26.055
8.613,26.5
8.575,26.2
8.619,26.075
8.668,26.13
8.646,26.04
8.787,26.3
9.059,26.24
9.084,25.91
9.036,25.925
9.099,25.5
9.011,25.535
8.95,24.89
9.066,25.13
9.108,24.93
9.159,25.225
9.129,24.905
9.123,25.4
9.084,24.925
9.14,24.91
9.1,24.675
9.148,24.58
9.245,24.56
9.358,24.785
9.3,24.865
9.377,24.895
9.329,24.39
9.23,24.815
9.052,24.33
9.032,23.78
9.041,23.94
9.129,24.015
9.267,24.185
9.331,24.085
9.424,24.705
9.319,24.59
9.216,24.345
8.985,23.77
9.045,23.83
8.87,23.175
8.963,23.1
8.926,23.275
8.805,23.315
9.157,23.23
9.087,22.905
9.15,22.975
9.12,22.58
9.333,22.9
9.318,23.065
9.235,23.9
8.909,23.49
8.885,23.86
8.942,24.06
8.629,23.745
8.275,22.995
8.376,22.36
8.214,22.255
8.17,22.605
8.118,22.685
8.219,22.6
8.222,23.165
8.37,23.98
8.256,23.91
8.338,24.235
8.465,24.2
8.44,23.57
8.594,24.14
8.72,24.19
8.6,24.32
8.583,23.835
8.734,23.79
8.83,23.91
8.847,24.27
8.908,24.225
8.834,23.885
8.845,23.66
8.91,23.89
8.977,23.72
8.987,24.105
8.991,24.2
9.047,24.45
9.116,24.39
9.087,24.25
9.079,24.305
9.055,24.86
9.018,24.45
8.871,24.42
8.785,24.075
8.811,24.095
8.934,24.165
8.996,24.31
8.8,24
8.682,23.54
8.614,22.9
8.389,22.53
8.523,22.505
8.47,22.37
8.193,22.455
8.02,21.78
7.855,21.115
7.855,21.115
7.833,21.385
7.874,20.96
7.673,20.585
7.701,20.345
7.174,19.605
7.025,19.54
7.186,19.83
6.952,19.6
7.07,19.435
7.239,19.965
7.131,19.79
7.325,20.595
7.436,20.62
7.581,21.05
7.565,20.86
7.344,20.555
7.398,21.02
7.283,21.875
7.287,22.045
7.741,22.265
7.788,22.05
7.639,21.935
7.743,22.275
7.774,22.585
7.592,22.355
7.689,22.66
7.664,22.59
7.613,22.3
7.586,22.66
7.584,22.37
7.626,22.545
7.725,23.605
7.855,24.195
7.94,24.05
8.132,24.485
8.105,24.11
8.075,24.065
8.07,24.3
7.877,24.375
7.878,24.135
7.878,23.7
7.89,24.17
8.15,24.455
8.391,24.065
8.523,24.39
8.555,23.895
8.399,23.545
8.508,23.53
8.513,23.735
8.35,23.045
8.217,22.31
8.323,22.705
8.383,22.775
8.6,23.19
8.623,22.95
8.688,23.195
8.748,23.375
8.748,23.375
8.748,23.375
8.748,23.375
8.78,23.165
8.845,22.915
8.845,22.915
8.845,22.915
8.889,22.675
8.701,22.4
8.48,22.87
8.606,23.195
8.888,24.125
8.774,23.755
8.858,24.17
8.956,23.99
8.991,23.805
9.081,24.32
9.114,24.465
9.271,24.82
9.333,25.4
9.333,26.28
9.353,26.73
9.535,27.1
9.773,27.4
9.558,27.44
9.85,27.845
9.999,28.07
9.977,28
9.865,27.98
10.035,28.195
10.05,27.85
10.05,28.25
10.08,28.145
9.786,27.86
10.015,27.81
10.105,28.06
10.25,28.73
10.055,28.675
10.065,28.365
9.984,27.895
10.25,28.815
10.11,28.85
10.235,28.515
10.345,28.855
10.375,28.755
10.395,28.8
10.43,28.715
10.345,28.825
10.375,28.95
10.33,28.435
10.495,28.475
10.75,28.75
10.745,28.735
10.825,29.235
11.045,29.055
11.28,29.66
10.95,31.87
11.185,31.515
11.305,32.84
11.205,31.855
11.02,32.14
11.06,30.975
11.175,31.13
11.26,30.59
11.285,30.355
10.91,30.22
10.75,29.93
10.83,30.345
11.285,30.725
11.13,30.41
11.1,30.51
11.195,30.96
11.195,30.96
11.195,30.96
11.475,31.395
11.395,31.45
11.535,32.125
11.805,32.57
11.92,32.37
11.91,32.12
11.735,32.385
11.565,31.89
11.235,30.755
11.5,31.08
11.68,31.47
11.685,31.47
11.41,30.755
11.42,31.395
11.72,32.175
11.37,31.245
10.83,29.23
10.58,29.32
10.58,29.32
11.02,30.415
10.755,29.98
10.975,29.97
11.275,29.97
11.4,31.38
11.43,31.97
11.37,30.08
11.21,29.195
11.345,29.55
11.39,28.73
11.57,29.44
11.75,30.59
11.835,30.35
11.845,30.5
11.675,30.385
